Date,Selina,Sub Category,Capacity,Out of Order,Available Beds,Sold Beds,Room Revenue USD,Food and Beverage Revenue,Activities Revenue,Co-Working Revenue,Average Guest Review
12/1/2017,Santa Teresa North,Private Shared,16,1,15,11,316.8,99.4752,43.0848,18.6912,8.745
12/1/2017,Santa Teresa North,Private,22,1,21,15,535.5,162.2565,83.538,28.917,8.744
12/1/2017,Red Frog,Private Shared,14,1,13,10,252,88.956,46.62,17.892,8.739
12/1/2017,Tamarindo,Private,24,1,23,15,535.5,176.715,59.976,30.5235,8.779
12/1/2017,Venao,Private,12,1,11,9,283.5,96.1065,65.205,29.2005,8.707
12/2/2017,Bocas del Toro,Dorm,154,1,153,110,1760,607.2,396,211.2,8.7
12/2/2017,Antigua,Private,34,5,29,14,585.2,3.5112,76.076,16.3856,8.992
12/2/2017,Medellin,Dorm,215,20,195,89,1602,323.604,264.33,80.1,8.798
12/2/2017,Jaco,Private,42,1,41,18,642.6,227.4804,65.5452,17.3502,8.778
12/2/2017,Manuel Antonio,Dorm,116,2,114,84,1344,420.672,205.632,57.792,8.736
12/2/2017,Santa Teresa North,Dorm,140,1,139,91,1365,402.675,178.815,68.25,8.748
12/2/2017,Tamarindo,Private Shared,34,1,33,19,581.4,195.9318,68.0238,17.442,8.76
12/2/2017,Jaco,Dorm,118,3,115,59,944,311.52,96.288,19.824,8.787
12/2/2017,Manuel Antonio,Private,60,1,59,42,1499.4,449.82,236.9052,70.4718,8.754
12/2/2017,Antigua,Dorm,92,10,82,33,627,1.254,89.034,13.167,9.005
12/2/2017,La Fortuna,Private Shared,32,2,30,13,397.8,132.4674,43.3602,11.1384,8.796
12/2/2017,Tamarindo,Dorm,144,2,142,89,1424,449.984,170.88,39.872,8.777
12/2/2017,Venao,Private,12,1,11,9,264.6,91.5516,63.7686,30.1644,8.706
12/2/2017,La Fortuna,Dorm,100,4,96,38,646,218.348,54.264,16.796,8.791
12/2/2017,Puerto Viejo,Dorm,66,2,64,36,576,185.472,62.784,27.648,8.78
12/2/2017,Puerto Viejo,Private,32,1,31,15,567,184.842,64.071,14.175,8.767
12/2/2017,Venao,Dorm,51,1,50,35,490,162.68,111.23,51.45,8.711
12/2/2017,Medellin,Private,88,9,79,40,1520,281.2,238.64,80.56,8.78
12/2/2017,Red Frog,Private,34,1,33,25,735,257.985,142.59,46.305,8.745
12/2/2017,Santa Teresa North,Private,22,1,21,15,535.5,167.076,69.615,21.9555,8.752
12/2/2017,San Jose,Private,40,1,39,31,1171.8,373.8042,183.9726,70.308,8.76
12/2/2017,Bocas del Toro,Private Shared,32,1,31,22,554.4,192.3768,128.6208,52.1136,8.693
12/2/2017,Manuel Antonio,Private Shared,18,1,17,13,397.8,116.9532,56.4876,19.0944,8.742
12/2/2017,Venao,Private Shared,34,0,34,24,604.8,214.704,131.8464,61.6896,8.695
12/2/2017,Medellin,Private Shared,24,2,22,11,316.8,59.2416,51.3216,12.3552,8.788
12/2/2017,La Fortuna,Private,20,1,19,8,285.6,95.9616,25.1328,5.712,8.801
12/2/2017,San Jose,Dorm,86,1,85,59,1003,302.906,142.426,43.129,8.744
12/2/2017,Puerto Viejo,Private Shared,40,1,39,22,673.2,226.8684,71.3592,26.928,8.784
12/2/2017,Tamarindo,Private,24,1,23,14,499.8,158.4366,60.9756,16.9932,8.758
12/2/2017,Santa Teresa North,Private Shared,16,1,15,12,324,104.328,50.868,21.06,8.755
12/2/2017,Bocas del Toro,Private,44,1,43,31,1041.6,344.7696,248.9424,113.5344,8.694
12/2/2017,Red Frog,Dorm,24,1,23,18,288,102.24,54.72,23.04,8.746
12/2/2017,San Jose,Private Shared,14,1,13,10,306,95.778,47.124,20.808,8.754
12/2/2017,Red Frog,Private Shared,14,1,13,10,288,102.528,57.6,23.04,8.756
12/2/2017,Pedasi,Dorm,8,1,7,6,84,27.804,18.984,9.156,8.703
12/3/2017,La Fortuna,Dorm,100,6,94,40,640,224,68.48,12.8,8.793
12/3/2017,Bocas del Toro,Dorm,154,1,153,111,1776,589.632,406.704,200.688,8.695
12/3/2017,Santa Teresa North,Dorm,140,2,138,97,1455,446.685,213.885,64.02,8.759
12/3/2017,Puerto Viejo,Dorm,66,1,65,35,595,193.97,68.425,15.47,8.78
12/3/2017,Tamarindo,Private,24,1,23,13,464.1,155.4735,56.1561,15.3153,8.776
12/3/2017,Manuel Antonio,Dorm,116,3,113,87,1392,412.032,222.72,65.424,8.747
12/3/2017,Medellin,Private,88,9,79,39,1482,290.472,235.638,37.05,8.776
12/3/2017,Medellin,Dorm,215,23,192,99,1881,361.152,306.603,75.24,8.779
12/3/2017,Puerto Viejo,Private Shared,40,1,39,19,547.2,181.6704,61.8336,25.1712,8.782
12/3/2017,Antigua,Dorm,92,11,81,33,627,0.627,91.542,12.54,9.004
12/3/2017,Jaco,Private,42,1,41,21,705.6,242.0208,79.7328,33.1632,8.784
12/3/2017,Tamarindo,Dorm,144,2,142,88,1496,498.168,206.448,80.784,8.773
12/3/2017,San Jose,Dorm,86,2,84,60,1020,310.08,161.16,70.38,8.753
12/3/2017,Santa Teresa North,Private Shared,16,1,15,11,297,91.773,43.065,12.474,8.759
12/3/2017,Antigua,Private,34,5,29,14,523.6,3.1416,74.3512,4.1888,8.994
12/3/2017,Jaco,Dorm,118,0,118,58,928,310.88,90.944,24.128,8.779
12/3/2017,Manuel Antonio,Private,60,1,59,44,1663.2,517.2552,264.4488,76.5072,8.753
12/3/2017,Medellin,Private Shared,24,3,21,12,345.6,71.8848,54.6048,14.8608,8.787
12/3/2017,La Fortuna,Private Shared,32,1,31,14,428.4,146.9412,35.1288,10.71,8.81
12/3/2017,Tamarindo,Private Shared,34,1,33,20,576,192.384,64.512,21.312,8.774
12/3/2017,Puerto Viejo,Private,32,1,31,18,642.6,210.1302,78.3972,26.3466,8.793
12/3/2017,Santa Teresa North,Private,22,1,21,14,441,131.418,60.417,25.578,8.75
12/3/2017,Venao,Dorm,51,1,50,37,555,185.37,119.88,51.615,8.688
12/3/2017,Red Frog,Dorm,24,1,23,18,270,95.31,47.52,15.66,8.735
12/3/2017,San Jose,Private Shared,14,1,13,10,288,86.976,43.2,16.704,8.747
12/3/2017,Bocas del Toro,Private Shared,32,1,31,22,554.4,186.2784,124.1856,54.8856,8.704
12/3/2017,Red Frog,Private,34,1,33,23,772.8,276.6624,151.4688,62.5968,8.755
12/3/2017,Pedasi,Dorm,8,1,7,6,96,33.6,20.544,10.752,8.715
12/3/2017,Bocas del Toro,Private,44,1,43,33,1039.5,357.588,244.2825,107.0685,8.692
12/3/2017,La Fortuna,Private,20,1,19,9,283.5,97.2405,23.247,10.4895,8.81
12/3/2017,San Jose,Private,40,1,39,28,999.6,314.874,154.938,54.978,8.746
12/3/2017,Manuel Antonio,Private Shared,18,1,17,14,453.6,136.5336,71.2152,26.7624,8.747
12/3/2017,Red Frog,Private Shared,14,1,13,10,288,97.92,56.736,22.464,8.757
12/3/2017,Venao,Private,12,1,11,9,264.6,88.9056,63.2394,29.3706,8.697
12/3/2017,Pedasi,Private,16,1,15,12,352.8,117.8352,77.9688,36.6912,8.7
12/4/2017,Tamarindo,Dorm,144,1,143,76,1368,428.184,176.472,49.248,8.768
12/4/2017,Santa Teresa North,Private Shared,16,1,15,11,316.8,94.4064,49.104,18.0576,8.768
12/4/2017,Santa Teresa North,Dorm,140,3,137,93,1395,436.635,198.09,71.145,8.746
12/4/2017,Medellin,Dorm,215,23,192,101,1818,345.42,272.7,89.082,8.773
12/4/2017,Bocas del Toro,Dorm,154,3,151,110,1650,556.05,377.85,171.6,8.709
12/4/2017,Manuel Antonio,Dorm,116,2,114,87,1566,499.554,233.334,100.224,8.749
12/4/2017,Bocas del Toro,Private Shared,32,1,31,25,630,207.9,139.86,75.6,8.71
12/4/2017,Jaco,Private,42,2,40,18,567,184.275,52.731,18.144,8.772
12/4/2017,Medellin,Private,88,10,78,39,1407.9,282.9879,214.0008,56.316,8.784
12/4/2017,Santa Teresa North,Private,22,1,21,16,571.2,185.0688,85.1088,31.9872,8.767
12/4/2017,Red Frog,Private Shared,14,1,13,11,316.8,108.9792,55.44,17.1072,8.744
12/4/2017,San Jose,Dorm,86,1,85,62,1054,313.038,149.668,63.24,8.759
12/4/2017,Tamarindo,Private Shared,34,1,33,21,604.8,196.56,76.8096,30.24,8.782
12/4/2017,Antigua,Private,34,5,29,13,543.4,3.2604,80.4232,11.9548,8.987
12/4/2017,La Fortuna,Dorm,100,5,95,38,608,201.248,66.272,9.12,8.799
12/4/2017,San Jose,Private,40,1,39,27,963.9,289.17,136.8738,44.3394,8.738
12/4/2017,Puerto Viejo,Dorm,66,1,65,32,544,190.4,58.208,20.672,8.794
12/4/2017,Manuel Antonio,Private,60,2,58,41,1377.6,413.28,216.2832,88.1664,8.763
12/4/2017,Venao,Dorm,51,1,50,36,576,192.96,123.84,58.752,8.698
12/4/2017,Manuel Antonio,Private Shared,18,1,17,13,421.2,129.3084,68.6556,27.7992,8.754
12/4/2017,Antigua,Dorm,92,13,79,31,589,2.356,77.159,8.246,8.987
12/4/2017,La Fortuna,Private,20,1,19,8,268.8,94.6176,27.9552,4.3008,8.785
12/4/2017,Pedasi,Dorm,8,1,7,6,96,34.08,21.216,9.6,8.709
12/4/2017,Red Frog,Dorm,24,1,23,18,270,94.77,50.76,17.01,8.762
12/4/2017,Bocas del Toro,Private,44,1,43,31,1041.6,370.8096,234.36,114.576,8.708
12/4/2017,Jaco,Dorm,118,2,116,52,832,283.712,81.536,29.952,8.781
12/4/2017,Venao,Private,12,1,11,9,302.4,101.304,66.8304,35.9856,8.699
12/4/2017,Medellin,Private Shared,24,3,21,11,352,70.048,57.728,10.208,8.785
12/4/2017,Venao,Private Shared,34,1,33,24,691.2,235.6992,167.2704,76.7232,8.712
12/4/2017,Pedasi,Private,16,1,15,12,352.8,121.0104,73.0296,32.4576,8.708
12/4/2017,Tamarindo,Private,24,1,23,15,535.5,179.3925,69.615,21.42,8.768
12/4/2017,Puerto Viejo,Private,32,1,31,16,537.6,187.6224,51.6096,17.7408,8.792
12/4/2017,La Fortuna,Private Shared,32,2,30,14,428.4,141.372,35.9856,9.8532,8.806
12/4/2017,Puerto Viejo,Private Shared,40,2,38,20,576,193.536,58.176,24.768,8.77
12/4/2017,San Jose,Private Shared,14,1,13,10,288,89.568,44.928,15.552,8.761
12/4/2017,Red Frog,Private,34,1,33,24,705.6,251.8992,138.2976,52.92,8.757
12/5/2017,Santa Teresa North,Dorm,140,0,140,101,1616,481.568,247.248,64.64,8.766
12/5/2017,San Jose,Dorm,86,1,85,60,1020,303.96,154.02,70.38,8.737
12/5/2017,Bocas del Toro,Dorm,154,4,150,107,1498,516.81,328.062,155.792,8.693
12/5/2017,Medellin,Private,88,11,77,44,1588.4,297.0308,244.6136,77.8316,8.786
12/5/2017,Antigua,Dorm,92,12,80,36,684,9.576,102.6,12.312,8.987
12/5/2017,La Fortuna,Dorm,100,4,96,40,640,211.2,64,16.64,8.801
12/5/2017,Red Frog,Dorm,24,1,23,18,288,100.224,52.416,20.448,8.761
12/5/2017,Tamarindo,Dorm,144,2,142,81,1458,492.804,167.67,40.824,8.781
12/5/2017,Puerto Viejo,Private Shared,40,1,39,21,604.8,200.7936,58.6656,21.168,8.791
12/5/2017,Medellin,Dorm,215,20,195,88,1672,321.024,250.8,46.816,8.791
12/5/2017,Jaco,Dorm,118,0,118,51,867,306.051,97.104,19.941,8.775
12/5/2017,Puerto Viejo,Dorm,66,2,64,32,512,178.688,59.904,24.064,8.775
12/5/2017,Santa Teresa North,Private Shared,16,1,15,10,288,86.976,44.352,13.824,8.753
12/5/2017,Bocas del Toro,Private,44,1,43,30,945,337.365,209.79,90.72,8.694
12/5/2017,Santa Teresa North,Private,22,1,21,16,571.2,183.9264,90.8208,21.7056,8.762
12/5/2017,San Jose,Private Shared,14,1,13,11,316.8,98.208,45.6192,20.2752,8.741
12/5/2017,La Fortuna,Private Shared,32,2,30,13,374.4,130.2912,38.5632,10.8576,8.807
12/5/2017,Manuel Antonio,Dorm,116,2,114,79,1264,384.256,203.504,72.048,8.738
12/5/2017,Tamarindo,Private Shared,34,1,33,20,576,193.536,64.512,24.768,8.756
12/5/2017,Red Frog,Private,34,1,33,24,705.6,237.0816,127.008,57.1536,8.753
12/5/2017,Antigua,Private,34,5,29,14,523.6,9.4248,82.7288,14.1372,8.985
12/5/2017,Tamarindo,Private,24,1,23,15,535.5,179.928,70.686,14.994,8.768
12/5/2017,Venao,Dorm,51,1,50,39,624,207.792,149.76,73.632,8.709
12/5/2017,Jaco,Private,42,1,41,21,705.6,238.4928,69.1488,14.8176,8.781
12/5/2017,Puerto Viejo,Private,32,1,31,15,567,191.079,62.37,28.917,8.766
12/5/2017,Bocas del Toro,Private Shared,32,1,31,22,633.6,209.088,136.224,76.032,8.697
12/5/2017,Manuel Antonio,Private,60,1,59,41,1549.8,472.689,215.4222,89.8884,8.761
12/5/2017,Pedasi,Dorm,8,1,7,6,84,29.148,18.396,7.644,8.697
12/5/2017,San Jose,Private,40,1,39,30,1071,313.803,163.863,47.124,8.74
12/5/2017,Venao,Private,12,1,11,9,264.6,93.6684,61.6518,26.9892,8.702
12/5/2017,La Fortuna,Private,20,1,19,7,220.5,78.939,23.814,5.292,8.801
12/5/2017,Manuel Antonio,Private Shared,18,1,17,14,453.6,142.884,65.3184,18.144,8.74
12/5/2017,Pedasi,Private,16,1,15,11,369.6,131.5776,86.1168,40.2864,8.719
12/5/2017,Red Frog,Private Shared,14,1,13,11,316.8,106.128,55.44,21.5424,8.747
12/5/2017,Venao,Private Shared,34,1,33,25,630,219.24,144.9,74.97,8.686
12/6/2017,Bocas del Toro,Dorm,154,2,152,114,1710,574.56,400.14,188.1,8.687
12/6/2017,Antigua,Private,34,4,30,12,448.8,5.8344,68.2176,2.244,8.984
12/6/2017,Red Frog,Dorm,24,1,23,19,285,98.04,54.15,16.245,8.758
12/6/2017,Manuel Antonio,Private,60,2,58,41,1377.6,400.8816,196.9968,66.1248,8.736
12/6/2017,Puerto Viejo,Dorm,66,1,65,30,510,171.87,49.47,21.93,8.78
12/6/2017,Bocas del Toro,Private Shared,32,1,31,22,633.6,209.7216,137.4912,59.5584,8.712
12/6/2017,Medellin,Private,88,8,80,38,1444,272.916,241.148,66.424,8.793
12/6/2017,Antigua,Dorm,92,12,80,34,578,4.046,82.654,16.762,9.007
12/6/2017,Medellin,Dorm,215,26,189,90,1710,328.32,300.96,68.4,8.78
12/6/2017,La Fortuna,Private,20,1,19,8,268.8,90.3168,27.1488,11.2896,8.804
12/6/2017,Jaco,Dorm,118,0,118,51,816,279.072,79.968,35.088,8.789
12/6/2017,Jaco,Private,42,1,41,20,714,237.762,63.546,19.992,8.777
12/6/2017,Puerto Viejo,Private,32,0,32,15,504,167.832,52.416,24.192,8.775
12/6/2017,San Jose,Dorm,86,2,84,61,1037,327.692,157.624,50.813,8.763
12/6/2017,Venao,Dorm,51,1,50,37,592,202.464,144.448,56.24,8.698
12/6/2017,Santa Teresa North,Dorm,140,2,138,87,1479,448.137,232.203,93.177,8.751
12/6/2017,Tamarindo,Private,24,1,23,15,504,165.816,69.552,23.184,8.755
12/6/2017,Puerto Viejo,Private Shared,40,1,39,21,604.8,203.8176,63.504,19.9584,8.785
12/6/2017,Tamarindo,Dorm,144,1,143,88,1496,489.192,204.952,56.848,8.776
12/6/2017,Bocas del Toro,Private,44,1,43,31,976.5,322.245,236.313,106.4385,8.689
12/6/2017,La Fortuna,Dorm,100,6,94,44,660,223.08,54.78,27.06,8.788
12/6/2017,Red Frog,Private Shared,14,1,13,10,252,89.208,49.896,19.656,8.764
12/6/2017,Manuel Antonio,Dorm,116,2,114,83,1494,455.67,230.076,79.182,8.735
12/6/2017,Pedasi,Private,16,1,15,12,378,127.764,87.696,33.264,8.699
12/6/2017,Tamarindo,Private Shared,34,1,33,19,547.2,171.8208,68.9472,30.6432,8.777
12/6/2017,Santa Teresa North,Private,22,1,21,16,537.6,161.28,80.64,20.9664,8.764
12/6/2017,San Jose,Private,40,1,39,31,1106.7,327.5832,153.8313,55.335,8.755
12/6/2017,Red Frog,Private,34,1,33,25,735,254.31,133.035,55.86,8.737
12/6/2017,Venao,Private,12,0,12,9,264.6,93.4038,63.504,27.783,8.711
12/6/2017,Santa Teresa North,Private Shared,16,1,15,11,316.8,95.04,46.5696,16.4736,8.763
12/6/2017,Pedasi,Dorm,8,1,7,6,84,29.064,18.06,9.156,8.714
12/6/2017,La Fortuna,Private Shared,32,2,30,12,367.2,124.4808,31.9464,7.7112,8.79
12/6/2017,Venao,Private Shared,34,1,33,25,720,259.2,169.92,82.8,8.7
12/6/2017,Manuel Antonio,Private Shared,18,1,17,14,428.4,124.236,67.2588,28.7028,8.758
12/6/2017,Medellin,Private Shared,24,3,21,11,352,69.344,59.84,14.08,8.773
12/6/2017,San Jose,Private Shared,14,1,13,10,324,96.228,46.008,14.904,8.748
12/7/2017,Venao,Private Shared,34,1,33,26,655.2,230.6304,143.4888,77.3136,8.707
12/7/2017,Bocas del Toro,Dorm,154,2,152,116,1856,618.048,408.32,187.456,8.713
12/7/2017,Medellin,Private,88,10,78,37,1335.7,279.1613,215.0477,44.0781,8.777
12/7/2017,Antigua,Dorm,92,12,80,32,608,3.04,85.12,10.944,8.995
12/7/2017,Manuel Antonio,Dorm,116,1,115,79,1264,376.672,204.768,54.352,8.742
12/7/2017,Santa Teresa North,Dorm,140,2,138,95,1425,440.325,225.15,92.625,8.765
12/7/2017,Venao,Dorm,51,1,50,37,592,212.528,138.528,56.24,8.703
12/7/2017,Tamarindo,Dorm,144,2,142,89,1602,498.222,193.842,52.866,8.76
12/7/2017,San Jose,Dorm,86,1,85,64,1088,340.544,180.608,64.192,8.752
12/7/2017,Jaco,Dorm,118,1,117,51,816,285.6,82.416,22.848,8.794
12/7/2017,San Jose,Private Shared,14,1,13,10,288,90.144,42.912,16.416,8.741
12/7/2017,Bocas del Toro,Private,44,1,43,30,945,316.575,206.955,91.665,8.699
12/7/2017,Venao,Private,12,1,11,9,264.6,94.1976,61.6518,25.6662,8.704
12/7/2017,Medellin,Dorm,215,21,194,104,1872,355.68,278.928,74.88,8.799
12/7/2017,Manuel Antonio,Private Shared,18,1,17,12,367.2,114.1992,57.2832,18.7272,8.743
12/7/2017,Santa Teresa North,Private Shared,16,1,15,12,367.2,112.7304,52.5096,18.36,8.753
12/7/2017,Santa Teresa North,Private,22,1,21,15,472.5,142.2225,65.6775,21.735,8.75
12/7/2017,Jaco,Private,42,2,40,21,749.7,254.1483,71.9712,16.4934,8.793
12/7/2017,Red Frog,Dorm,24,1,23,18,270,90.45,50.76,15.12,8.758
12/7/2017,Puerto Viejo,Private Shared,40,1,39,22,712.8,240.9264,69.1416,24.948,8.789
12/7/2017,Puerto Viejo,Dorm,66,1,65,31,558,179.118,63.612,17.298,8.781
12/7/2017,Red Frog,Private Shared,14,1,13,10,252,87.192,46.368,15.876,8.738
12/7/2017,Puerto Viejo,Private,32,1,31,15,567,184.275,66.906,17.577,8.775
12/7/2017,Tamarindo,Private,24,1,23,14,499.8,159.4362,60.9756,26.9892,8.778
12/7/2017,Tamarindo,Private Shared,34,1,33,20,576,187.2,63.936,24.192,8.775
12/7/2017,Bocas del Toro,Private Shared,32,1,31,23,662.4,225.216,156.9888,78.1632,8.714
12/7/2017,Medellin,Private Shared,24,3,21,12,364.8,72.5952,59.8272,12.4032,8.783
12/7/2017,La Fortuna,Dorm,100,6,94,41,656,232.224,70.848,20.336,8.784
12/7/2017,Antigua,Private,34,4,30,14,554.4,0,79.2792,18.2952,9
12/7/2017,San Jose,Private,40,1,39,30,1008,292.32,145.152,44.352,8.76
12/7/2017,Manuel Antonio,Private,60,1,59,42,1499.4,437.8248,224.91,94.4622,8.747
12/7/2017,Red Frog,Private,34,1,33,25,840,289.8,147.84,51.24,8.743
12/7/2017,La Fortuna,Private Shared,32,2,30,12,324,111.78,30.456,7.452,8.796
12/7/2017,Pedasi,Private,16,1,15,12,378,129.654,79.758,39.69,8.711
12/7/2017,Pedasi,Dorm,8,1,7,6,96,33.984,21.504,9.024,8.698
12/7/2017,La Fortuna,Private,20,2,18,9,302.4,105.5376,27.5184,6.3504,8.793
12/8/2017,Puerto Viejo,Private Shared,40,1,39,19,615.6,209.304,66.4848,27.702,8.78
12/8/2017,Santa Teresa North,Dorm,140,1,139,90,1530,462.06,205.02,85.68,8.764
12/8/2017,Manuel Antonio,Dorm,116,1,115,83,1328,401.056,201.856,90.304,8.753
12/8/2017,Tamarindo,Dorm,144,1,143,89,1602,519.048,221.076,80.1,8.774
12/8/2017,Jaco,Dorm,118,3,115,51,867,281.775,90.168,30.345,8.788
12/8/2017,San Jose,Private Shared,14,1,13,11,336.6,102.3264,48.807,19.1862,8.738
12/8/2017,Tamarindo,Private Shared,34,1,33,20,612,197.676,77.724,34.272,8.767
12/8/2017,Bocas del Toro,Private Shared,32,1,31,23,621,209.277,135.378,72.657,8.702
12/8/2017,Bocas del Toro,Dorm,154,1,153,118,1770,624.81,415.95,210.63,8.693
12/8/2017,Manuel Antonio,Private,60,2,58,41,1377.6,429.8112,227.304,71.6352,8.764
12/8/2017,Jaco,Private,42,1,41,20,630,217.35,58.59,17.64,8.786
12/8/2017,Pedasi,Dorm,8,1,7,6,90,30.06,19.8,9.9,8.71
12/8/2017,Santa Teresa North,Private,22,1,21,16,504,152.208,75.096,27.72,8.757
12/8/2017,Red Frog,Dorm,24,1,23,17,238,83.062,44.268,12.852,8.754
12/8/2017,Bocas del Toro,Private,44,1,43,33,970.2,326.9574,226.0566,115.4538,8.685
12/8/2017,San Jose,Private,40,1,39,29,1035.3,307.4841,150.1185,46.5885,8.763
12/8/2017,Medellin,Private,88,8,80,40,1520,296.4,264.48,53.2,8.771
12/8/2017,Antigua,Dorm,92,12,80,34,612,7.344,88.74,7.344,8.989
12/8/2017,La Fortuna,Dorm,100,3,97,39,585,205.335,55.575,12.87,8.792
12/8/2017,Antigua,Private,34,5,29,15,561,6.732,78.54,5.61,8.998
12/8/2017,Santa Teresa North,Private Shared,16,1,15,11,336.6,100.98,45.1044,16.83,8.762
12/8/2017,La Fortuna,Private,20,1,19,8,285.6,96.8184,25.704,7.14,8.808
12/8/2017,Medellin,Dorm,215,20,195,89,1602,320.4,261.126,72.09,8.794
12/8/2017,Puerto Viejo,Private,32,1,31,17,571.2,194.7792,65.688,21.1344,8.791
12/8/2017,San Jose,Dorm,86,2,84,58,1044,307.98,168.084,70.992,8.763
12/8/2017,Red Frog,Private,34,1,33,25,840,294,165.48,57.12,8.759
12/8/2017,Venao,Dorm,51,1,50,34,544,190.944,131.104,64.192,8.71
12/8/2017,Puerto Viejo,Dorm,66,2,64,30,540,185.22,56.7,24.3,8.782
12/8/2017,La Fortuna,Private Shared,32,2,30,14,403.2,137.4912,41.1264,8.8704,8.789
12/8/2017,Tamarindo,Private,24,1,23,13,464.1,156.8658,63.5817,21.3486,8.774
12/8/2017,Manuel Antonio,Private Shared,18,1,17,14,453.6,135.6264,67.1328,27.216,8.737
12/8/2017,Pedasi,Private,16,1,15,12,352.8,121.0104,82.908,30.6936,8.705
12/8/2017,Venao,Private,12,1,11,9,283.5,96.957,63.7875,34.3035,8.708
12/8/2017,Medellin,Private Shared,24,3,21,10,304,59.888,46.512,15.2,8.782
12/8/2017,Venao,Private Shared,34,1,33,26,655.2,219.492,141.5232,72.072,8.714
12/8/2017,Red Frog,Private Shared,14,1,13,10,252,89.208,47.376,15.372,8.748
12/9/2017,Manuel Antonio,Private,60,1,59,41,1377.6,439.4544,221.7936,59.2368,8.739
12/9/2017,Antigua,Dorm,92,13,79,31,527,2.635,72.199,13.175,9.007
12/9/2017,Manuel Antonio,Dorm,116,1,115,83,1328,422.304,207.168,86.32,8.754
12/9/2017,Bocas del Toro,Dorm,154,1,153,114,1824,632.928,410.4,175.104,8.687
12/9/2017,Puerto Viejo,Dorm,66,1,65,35,630,209.79,76.86,32.13,8.77
12/9/2017,Medellin,Dorm,215,25,190,100,1800,354.6,298.8,73.8,8.775
12/9/2017,La Fortuna,Dorm,100,4,96,39,624,210.288,51.792,9.36,8.794
12/9/2017,Tamarindo,Dorm,144,3,141,88,1584,525.888,191.664,85.536,8.756
12/9/2017,Antigua,Private,34,4,30,12,475.2,6.6528,65.5776,5.2272,8.995
12/9/2017,San Jose,Private,40,1,39,28,1058.4,312.228,170.4024,58.212,8.755
12/9/2017,Venao,Private Shared,34,1,33,24,604.8,210.4704,131.2416,66.528,8.695
12/9/2017,La Fortuna,Private Shared,32,2,30,13,351,116.181,37.908,12.285,8.781
12/9/2017,Pedasi,Dorm,8,1,7,6,84,28.308,18.06,8.316,8.718
12/9/2017,Jaco,Dorm,118,2,116,54,864,296.352,85.536,33.696,8.799
